package,ecosystem,installed_version,dependency_type,cve_id,osv_id,summary,severity,cvss_vector,published,modified,aliases,reference_url,epss_score,epss_percentile,kev,kev_date_added,risk_tier
@babel/core,npm,7.29.0,dev,CVE-2026-49356,GHSA-4x5r-pxfx-6jf8,@babel/core: Arbitrary File Read via sourceMappingURL Comment,LOW,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:C/C:L/I:N/A:N,2026-06-15T17:14:14Z,2026-07-15T22:30:42.819627456Z,CVE-2026-49356,https://github.com/babel/babel/security/advisories/GHSA-4x5r-pxfx-6jf8,0.00126,0.02679,false,,LOW
brace-expansion,npm,5.0.6,dev,CVE-2026-13149,GHSA-3jxr-9vmj-r5cp,brace-expansion: DoS via exponential-time expansion of consecutive non-expanding {} groups,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,2026-07-20T20:51:09Z,2026-07-21T14:59:37.393087727Z,CVE-2026-13149,https://github.com/juliangruber/brace-expansion/security/advisories/GHSA-3jxr-9vmj-r5cp,0.00348,0.27896,false,,LOW
brace-expansion,npm,5.0.6,dev,CVE-2026-14257,GHSA-mh99-v99m-4gvg,brace-expansion: DoS via unbounded expansion length causing an out-of-memory process crash,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2026-07-24T21:53:14Z,2026-07-31T19:45:20.213748264Z,CVE-2026-14257,https://github.com/juliangruber/brace-expansion/security/advisories/GHSA-mh99-v99m-4gvg,0.00339,0.26876,false,,LOW
brace-expansion,npm,5.0.6,dev,CVE-2026-69152,GHSA-rgw5-rvv9-x895,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2026-08-03T16:35:32Z,2026-08-04T21:27:00.495135395Z,CVE-2026-69152,https://github.com/juliangruber/brace-expansion/security/advisories/GHSA-rgw5-rvv9-x895,0.00411,0.34211,false,,LOW
nanoid,npm,3.3.12,dev,CVE-2026-67214,GHSA-28wg-ghj8-5hjv,nanoid: non-secure generators can loop indefinitely with negative size,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,2026-07-29T15:31:12Z,2026-08-10T10:11:52.814463935Z,CVE-2026-67214,https://nvd.nist.gov/vuln/detail/CVE-2026-67214,0.00319,0.24702,false,,LOW
nanoid,npm,3.3.12,dev,CVE-2026-67213,GHSA-2v37-7h3g-55p8,nanoid: custom generators can loop indefinitely when size is zero,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,2026-07-29T15:31:12Z,2026-08-13T16:00:06.912130638Z,CVE-2026-67213,https://nvd.nist.gov/vuln/detail/CVE-2026-67213,0.00319,0.24702,false,,LOW
postcss,npm,8.5.14,dev,CVE-2026-69153,GHSA-fxqj-rqcc-2cmp,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,MODERATE,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N,2026-08-03T17:11:39Z,2026-08-04T21:26:59.056562955Z,CVE-2026-69153,https://github.com/postcss/postcss/security/advisories/GHSA-fxqj-rqcc-2cmp,0.00313,0.24048,false,,LOW
postcss,npm,8.5.14,dev,CVE-2026-73646,GHSA-r28c-9q8g-f849,PostCSS: Path Traversal in Previous Source Map Auto-Loading (sourceMappingURL) leads to Arbitrary .map File Disclosure,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2026-07-24T16:24:55Z,2026-08-13T18:15:07.419926735Z,CVE-2026-73646,https://github.com/postcss/postcss/security/advisories/GHSA-r28c-9q8g-f849,,,false,,UNSCORED
vite,npm,8.0.13,dev,CVE-2026-53571,GHSA-fx2h-pf6j-xcff,vite: `server.fs.deny` bypass on Windows alternate paths,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2026-06-15T17:17:45Z,2026-07-15T22:30:44.486843817Z,CVE-2026-53571,https://github.com/vitejs/vite/security/advisories/GHSA-fx2h-pf6j-xcff,0.00587,0.45289,false,,LOW
vite,npm,8.0.13,dev,CVE-2026-53632,GHSA-v6wh-96g9-6wx3,launch-editor: NTLMv2 hash disclosure via UNC path handling on Windows,MODERATE,CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:A/VC:N/VI:N/VA:N/SC:H/SI:H/SA:H,2026-06-15T17:18:31Z,2026-07-02T19:59:25.649988255Z,CVE-2026-53632,https://github.com/vitejs/launch-editor/security/advisories/GHSA-v6wh-96g9-6wx3,0.00349,0.27992,false,,LOW
