scan_date,total_findings,kev_count,act_now,high,elevated,low,unscored
2026-07-17,3,0,0,0,0,3,0
2026-07-17,3,0,0,0,0,3,0
2026-07-17,3,0,0,0,0,3,0
2026-07-17,3,0,0,0,0,3,0
2026-07-17,3,0,0,0,0,3,0
2026-07-18,3,0,0,0,0,3,0
2026-07-19,3,0,0,0,0,3,0
2026-07-20,3,0,0,0,0,3,0
2026-07-21,4,0,0,0,0,4,0
2026-07-22,4,0,0,0,0,4,0
2026-07-23,4,0,0,0,0,4,0
2026-07-24,4,0,0,0,0,4,0
2026-07-25,6,0,0,0,0,5,1
2026-07-26,6,0,0,0,0,5,1
2026-07-27,6,0,0,0,0,5,1
2026-07-28,6,0,0,0,0,5,1
2026-07-29,6,0,0,0,0,5,1
2026-07-30,6,0,0,0,0,5,1
2026-07-31,6,0,0,0,0,5,1
2026-08-01,6,0,0,0,0,5,1
2026-08-02,6,0,0,0,0,5,1
2026-08-03,6,0,0,0,0,5,1
2026-08-04,8,0,0,0,0,7,1
2026-08-05,8,0,0,0,0,7,1
2026-08-06,8,0,0,0,0,7,1
2026-08-07,8,0,0,0,0,7,1
2026-08-08,10,0,0,0,0,9,1
2026-08-09,10,0,0,0,0,9,1
2026-08-10,10,0,0,0,0,9,1
2026-08-11,10,0,0,0,0,9,1
2026-08-12,10,0,0,0,0,9,1
2026-08-13,10,0,0,0,0,9,1
2026-08-14,10,0,0,0,0,9,1
2026-08-15,10,0,0,0,0,9,1
2026-08-16,10,0,0,0,0,9,1
2026-08-17,10,0,0,0,0,9,1
2026-08-18,10,0,0,0,0,9,1
2026-08-19,10,0,0,0,0,10,0
2026-08-20,10,0,0,0,0,10,0
2026-08-21,10,0,0,0,0,10,0
2026-08-22,10,0,0,0,0,10,0
2026-08-23,10,0,0,0,0,10,0
2026-08-24,10,0,0,0,0,10,0
2026-08-25,10,0,0,0,0,10,0
2026-08-26,10,0,0,0,0,10,0
