package,ecosystem,installed_version,cve_id,osv_id,summary,severity,cvss_vector,published,modified,aliases,reference_url
requests,PyPI,2.19.0,CVE-2024-47081,GHSA-9hjg-9r4m-mvj7,Requests vulnerable to .netrc credentials leak via malicious URLs,MODERATE,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:N/A:N,2025-06-09T19:06:08Z,2026-02-04T03:44:00.676479Z,CVE-2024-47081,https://github.com/psf/requests/security/advisories/GHSA-9hjg-9r4m-mvj7
requests,PyPI,2.19.0,CVE-2024-35195,GHSA-9wx4-h78v-vm56,Requests `Session` object does not verify requests after making first request with verify=False,MODERATE,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:H/I:H/A:N,2024-05-20T20:15:00Z,2026-02-04T02:43:42.271895Z,CVE-2024-35195,https://github.com/psf/requests/security/advisories/GHSA-9wx4-h78v-vm56
requests,PyPI,2.19.0,CVE-2026-25645,GHSA-gc5v-m9x4-r6x2,Requests has Insecure Temp File Reuse in its extract_zipped_paths() utility function,MODERATE,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:N/I:H/A:N,2026-03-25T16:56:28Z,2026-03-27T22:17:33.595885Z,CVE-2026-25645,https://github.com/psf/requests/security/advisories/GHSA-gc5v-m9x4-r6x2
requests,PyPI,2.19.0,CVE-2023-32681,GHSA-j8r2-6x86-q33q,Unintended leak of Proxy-Authorization header in requests,MODERATE,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:N/A:N,2023-05-22T20:36:32Z,2026-02-04T03:34:13.807518Z,CVE-2023-32681; PYSEC-2023-74,https://github.com/psf/requests/security/advisories/GHSA-j8r2-6x86-q33q
requests,PyPI,2.19.0,CVE-2018-18074,GHSA-x84v-xcm2-53pg,Insufficiently Protected Credentials in Requests,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2018-10-29T19:06:46Z,2024-10-21T21:42:55.896669Z,CVE-2018-18074; PYSEC-2018-28,https://nvd.nist.gov/vuln/detail/CVE-2018-18074
requests,PyPI,2.19.0,CVE-2018-18074,PYSEC-2018-28,,,,2018-10-09T17:29:00Z,2023-11-08T04:00:04.815794Z,CVE-2018-18074; GHSA-x84v-xcm2-53pg,https://github.com/requests/requests/pull/4718
requests,PyPI,2.19.0,CVE-2023-32681,PYSEC-2023-74,,,,2023-05-26T18:15:00Z,2023-11-08T04:12:35.436175Z,CVE-2023-32681; GHSA-j8r2-6x86-q33q,https://github.com/psf/requests/security/advisories/GHSA-j8r2-6x86-q33q
urllib3,PyPI,1.24.1,CVE-2025-66471,GHSA-2xpw-w6gg-jr37,urllib3 streaming API improperly handles highly compressed data,HIGH,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:H,2025-12-05T18:15:54Z,2026-02-04T02:36:12.983430Z,CVE-2025-66471,https://github.com/urllib3/urllib3/security/advisories/GHSA-2xpw-w6gg-jr37
urllib3,PyPI,1.24.1,CVE-2024-37891,GHSA-34jh-p97f-mpxf,urllib3's Proxy-Authorization request header isn't stripped during cross-origin redirects,MODERATE,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N,2024-06-17T21:37:20Z,2026-02-04T03:37:44.850742Z,CVE-2024-37891,https://github.com/urllib3/urllib3/security/advisories/GHSA-34jh-p97f-mpxf
urllib3,PyPI,1.24.1,CVE-2026-21441,GHSA-38jv-5279-wg99,Decompression-bomb safeguards bypassed when following HTTP redirects (streaming API),HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2026-01-07T19:18:14Z,2026-02-04T03:51:36.162029Z,CVE-2026-21441,https://github.com/urllib3/urllib3/security/advisories/GHSA-38jv-5279-wg99
urllib3,PyPI,1.24.1,CVE-2023-45803,GHSA-g4mx-q9vg-27p4,urllib3's request body not stripped after redirect from 303 status changes request method to GET,MODERATE,CVSS:3.1/AV:A/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N,2023-10-17T20:15:25Z,2026-02-04T03:30:16.767903Z,CVE-2023-45803; PYSEC-2023-212,https://github.com/urllib3/urllib3/security/advisories/GHSA-g4mx-q9vg-27p4
urllib3,PyPI,1.24.1,CVE-2025-66418,GHSA-gm62-xv2j-4w53,urllib3 allows an unbounded number of links in the decompression chain,HIGH,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:H,2025-12-05T18:15:19Z,2026-02-04T03:37:15.919661Z,CVE-2025-66418,https://github.com/urllib3/urllib3/security/advisories/GHSA-gm62-xv2j-4w53
urllib3,PyPI,1.24.1,CVE-2018-25091,GHSA-gwvm-45gx-3cf8,Authorization Header forwarded on redirect,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,2023-10-15T21:30:26Z,2024-11-18T23:24:00.169548Z,CVE-2018-25091; PYSEC-2023-207,https://nvd.nist.gov/vuln/detail/CVE-2018-25091
urllib3,PyPI,1.24.1,CVE-2019-11324,GHSA-mh33-7rrq-662w,Improper Certificate Validation in urllib3,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,2019-04-19T16:55:10Z,2024-11-18T22:25:21.266722Z,CVE-2019-11324; PYSEC-2019-133,https://nvd.nist.gov/vuln/detail/CVE-2019-11324
urllib3,PyPI,1.24.1,CVE-2025-50181,GHSA-pq67-6m6q-mj2v,urllib3 redirects are not disabled when retries are disabled on PoolManager instantiation,MODERATE,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,2025-06-18T17:50:00Z,2026-02-04T04:38:01.163387Z,CVE-2025-50181,https://github.com/urllib3/urllib3/security/advisories/GHSA-pq67-6m6q-mj2v
urllib3,PyPI,1.24.1,CVE-2026-44431,GHSA-qccp-gfcp-xxvc,urllib3: Sensitive headers forwarded across origins in proxied low-level redirects,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,2026-05-11T14:51:20Z,2026-05-20T08:11:43.145797382Z,CVE-2026-44431; PYSEC-2026-141,https://github.com/urllib3/urllib3/security/advisories/GHSA-qccp-gfcp-xxvc
urllib3,PyPI,1.24.1,CVE-2019-11236,GHSA-r64q-w8jr-g9qp,Improper Neutralization of CRLF Sequences in urllib3 library for Python,MODERATE,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,2022-05-13T01:09:23Z,2024-11-18T23:01:35.378516Z,CVE-2019-11236; PYSEC-2019-132,https://nvd.nist.gov/vuln/detail/CVE-2019-11236
